@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {pills_1,pills_10,pills_25,pills_50}

@DATA
0.190944,0.030008,2.413029,0.351889,0.252681,2.115444,0.001805,0.536775,-25.716943,-0.788726,-0.849654,-0.775592,0.109332,-0.384721,-0.281540,0.055345,0.070449,-0.127321,-0.012360,0.033868,-0.057170,0.003357,0.003988,0.004328,0.003309,0.002039,0.002148,0.002295,0.002332,0.001932,0.003002,0.003168,0.002911,0.001972,0.041433,0.034955,0.482515,0.084773,0.056380,0.689814,0.001004,0.239210,2.692449,0.393020,0.519576,0.367245,0.275118,0.238979,0.281208,0.219437,0.210301,0.202451,0.183359,0.196697,0.183577,0.002697,0.002597,0.003271,0.002506,0.001292,0.001963,0.002092,0.002163,0.001768,0.003033,0.002775,0.002634,0.001005,pills_25
0.221307,0.033409,2.279989,0.388180,0.247997,2.617615,0.001381,0.655071,-26.150334,-1.106245,-0.799087,-0.429014,-0.064912,-0.107953,-0.183386,-0.097485,0.042432,-0.155953,0.019959,0.013539,-0.025991,0.002408,0.002539,0.002757,0.002224,0.001802,0.001773,0.001762,0.001892,0.002012,0.002120,0.002372,0.002127,0.001201,0.053485,0.030718,0.505507,0.111963,0.058921,0.600577,0.000578,0.252524,2.487597,0.401168,0.349382,0.310454,0.238032,0.263875,0.246990,0.217747,0.191540,0.182258,0.184756,0.177367,0.171980,0.001668,0.001887,0.001811,0.001537,0.001074,0.001246,0.001324,0.001411,0.001648,0.001761,0.001913,0.001395,0.000696,pills_25
0.228429,0.034969,2.177190,0.394379,0.250328,2.634030,0.001276,0.658546,-25.983587,-1.291822,-0.694666,-0.391677,-0.006881,-0.168560,-0.149118,-0.018751,0.032898,-0.151958,0.017579,-0.009122,-0.019965,0.002106,0.001998,0.002575,0.002352,0.001538,0.001609,0.001580,0.001383,0.001334,0.001723,0.001945,0.002019,0.001068,0.055603,0.031846,0.580967,0.106067,0.054842,0.614590,0.000549,0.249350,2.315132,0.496699,0.352459,0.282305,0.281101,0.244505,0.269099,0.243431,0.207370,0.216368,0.201056,0.181913,0.172324,0.001634,0.001548,0.001923,0.001574,0.000798,0.000981,0.001173,0.000957,0.000801,0.001199,0.001454,0.001267,0.000653,pills_25
0.228777,0.036692,2.220407,0.394950,0.256518,2.716415,0.001207,0.675185,-25.692444,-1.217348,-0.469123,-0.380412,-0.088020,-0.047803,-0.156200,0.005980,0.040816,-0.172847,-0.030866,0.038160,-0.050323,0.002208,0.001998,0.003130,0.002197,0.002084,0.001871,0.002942,0.001525,0.001483,0.001758,0.002122,0.002013,0.001343,0.048858,0.030899,0.558392,0.100116,0.055881,0.605885,0.000688,0.239681,2.800542,0.597339,0.421520,0.395285,0.273886,0.282201,0.264618,0.237023,0.242970,0.219848,0.228789,0.219472,0.166887,0.001490,0.001391,0.002587,0.001396,0.001255,0.001435,0.003750,0.000917,0.000873,0.000871,0.001217,0.001117,0.001285,pills_25
0.208497,0.034990,2.257316,0.371380,0.252275,2.385814,0.001383,0.594411,-25.816975,-1.041734,-0.683115,-0.717467,0.104173,-0.346517,-0.238310,0.060130,0.050656,-0.099068,-0.007725,0.010768,-0.045918,0.002725,0.003018,0.003296,0.003169,0.001924,0.001984,0.002010,0.002002,0.001694,0.002315,0.002229,0.002219,0.001588,0.045769,0.038298,0.570525,0.081612,0.047977,0.582364,0.000604,0.212919,2.564536,0.591721,0.466362,0.361125,0.297322,0.245461,0.282779,0.235515,0.242318,0.238635,0.199675,0.185053,0.191582,0.001819,0.002633,0.002983,0.002345,0.001301,0.001322,0.002279,0.001957,0.001318,0.001826,0.001516,0.001718,0.001045,pills_25
0.233106,0.036141,2.257670,0.415832,0.260945,2.818196,0.001019,0.708881,-25.555330,-1.258349,-0.606380,-0.495052,0.097618,-0.092685,-0.137580,-0.098888,0.063287,-0.136253,0.057049,-0.027690,-0.083571,0.001915,0.001663,0.001783,0.001783,0.001543,0.001871,0.001335,0.001404,0.001627,0.001828,0.001936,0.002072,0.000936,0.053900,0.028912,0.464361,0.091618,0.043694,0.510353,0.000506,0.213057,1.731070,0.461522,0.336443,0.273060,0.291895,0.247100,0.236366,0.219424,0.215443,0.212087,0.196228,0.189321,0.170986,0.001249,0.001057,0.001131,0.001071,0.000922,0.001473,0.000827,0.000907,0.000972,0.001299,0.001246,0.001388,0.000487,pills_25
0.220905,0.035492,2.265176,0.364602,0.243291,2.534384,0.001407,0.600621,-25.965334,-1.143906,-0.681007,-0.512674,-0.052360,-0.136872,-0.159314,0.076223,0.071194,-0.190239,0.011797,0.057761,-0.033464,0.002303,0.002336,0.003421,0.002572,0.002344,0.002047,0.004317,0.001705,0.001650,0.002100,0.002348,0.002084,0.001874,0.052789,0.032711,0.537682,0.104961,0.061389,0.630723,0.000791,0.251148,3.232141,0.547923,0.381217,0.456855,0.285693,0.231966,0.248800,0.231542,0.207780,0.226758,0.192422,0.188962,0.181236,0.001463,0.001646,0.003195,0.001788,0.001709,0.001391,0.008946,0.001380,0.000989,0.001421,0.001431,0.001502,0.002732,pills_25
0.229885,0.034746,2.166015,0.389950,0.248300,2.561836,0.001273,0.636583,-26.191340,-1.312359,-0.593261,-0.397531,0.031234,-0.167234,-0.169032,0.001308,0.046384,-0.158127,0.039762,-0.003837,-0.033460,0.002019,0.002034,0.002548,0.002060,0.001623,0.001462,0.001354,0.001246,0.001265,0.001447,0.001658,0.001655,0.000996,0.048641,0.031682,0.615477,0.097305,0.053283,0.634737,0.000582,0.239473,2.448683,0.532861,0.379552,0.283263,0.287498,0.248988,0.236824,0.249782,0.222102,0.198519,0.191024,0.189483,0.179243,0.001231,0.001343,0.001655,0.001162,0.000988,0.000928,0.000858,0.000777,0.000676,0.000846,0.001078,0.001179,0.000488,pills_25
0.222343,0.036635,2.346638,0.383978,0.258002,2.568895,0.001285,0.643054,-25.396856,-0.851802,-0.832736,-0.553525,0.070058,-0.253519,-0.228263,0.032283,0.033089,-0.149339,0.016693,0.023255,-0.061977,0.002728,0.003132,0.004110,0.002929,0.002355,0.002060,0.002549,0.002083,0.001907,0.002403,0.002651,0.002741,0.001752,0.049283,0.037375,0.505069,0.089925,0.051778,0.526705,0.000644,0.222201,2.648000,0.521290,0.429783,0.347748,0.308473,0.252263,0.232358,0.244268,0.209050,0.206028,0.181045,0.182760,0.171262,0.002080,0.002962,0.002969,0.002150,0.001566,0.001374,0.003110,0.001595,0.001273,0.001816,0.001978,0.002546,0.001379,pills_25
0.234249,0.035026,2.237617,0.400194,0.252991,2.671483,0.001219,0.671387,-25.879798,-0.941329,-0.485571,-0.625071,-0.079421,-0.187026,-0.123561,-0.072398,0.122931,-0.158319,0.052039,-0.016247,-0.003068,0.002210,0.001946,0.002830,0.002101,0.001969,0.001577,0.003402,0.001315,0.001406,0.001954,0.002249,0.002444,0.001535,0.052576,0.029871,0.549817,0.098329,0.051514,0.609514,0.000698,0.233583,2.310806,0.522106,0.359394,0.375378,0.311052,0.239031,0.227467,0.233536,0.200896,0.240707,0.210156,0.181939,0.190356,0.001474,0.001281,0.002573,0.001707,0.001576,0.001126,0.006218,0.000866,0.000887,0.001521,0.001653,0.001944,0.001966,pills_25
0.161684,0.009891,2.035179,0.266192,0.186302,1.908320,0.001929,0.389625,-28.908980,-1.400201,-0.839280,-0.584461,0.186763,-0.157303,-0.172348,0.052248,0.058198,-0.152207,0.120406,-0.031826,-0.064650,0.002921,0.002863,0.004274,0.003155,0.002698,0.002450,0.002774,0.002684,0.002226,0.002261,0.002564,0.002772,0.001735,0.023011,0.013943,0.575297,0.093772,0.067047,0.632016,0.000639,0.225521,3.413502,0.568207,0.360630,0.367457,0.278038,0.283474,0.272529,0.243637,0.218530,0.214123,0.205098,0.197085,0.197581,0.002069,0.002363,0.003374,0.002113,0.001872,0.001451,0.002287,0.001907,0.001787,0.001419,0.001884,0.002302,0.001016,pills_50
0.151276,0.005904,1.727076,0.243450,0.177828,1.770324,0.002081,0.323842,-29.157098,-1.380805,-0.456423,-0.685889,-0.103241,-0.019594,-0.244201,0.123806,0.030092,-0.145043,0.038447,0.038469,0.012844,0.002799,0.002658,0.003939,0.003265,0.003209,0.002683,0.003819,0.002347,0.002174,0.002621,0.002509,0.002579,0.002028,0.023877,0.008066,0.647981,0.073325,0.053059,0.452733,0.000863,0.159808,3.047683,0.555489,0.423919,0.559159,0.391387,0.284841,0.266896,0.293267,0.258513,0.244966,0.239901,0.215489,0.193722,0.002464,0.001937,0.003163,0.002192,0.002378,0.002293,0.004769,0.002183,0.001892,0.001866,0.001732,0.001722,0.001458,pills_50
0.150219,0.014559,1.685028,0.294520,0.230469,2.103246,0.001398,0.421275,-26.001888,-1.228070,-1.082822,-0.547580,-0.181399,-0.155897,-0.235981,-0.033768,0.135976,-0.205292,0.136289,-0.057722,0.000129,0.004592,0.004476,0.005218,0.004144,0.002842,0.002460,0.002647,0.003022,0.002865,0.003754,0.004220,0.003731,0.002145,0.029418,0.012332,0.619906,0.081624,0.056118,0.498545,0.000515,0.185110,2.635135,0.582334,0.495596,0.407896,0.340603,0.296525,0.265330,0.255449,0.239593,0.241911,0.248466,0.207135,0.195393,0.003255,0.003524,0.003501,0.002584,0.001746,0.001336,0.001740,0.002208,0.001798,0.002526,0.002904,0.002769,0.001317,pills_50
0.158995,0.009761,1.888296,0.269215,0.190349,1.715037,0.002378,0.367912,-29.231656,-1.318362,-0.561434,-0.621302,0.199241,-0.192546,-0.216260,0.113300,0.069196,-0.173654,0.109525,-0.023252,-0.046363,0.002365,0.002850,0.004257,0.003353,0.002602,0.002092,0.002560,0.001989,0.001658,0.001856,0.002189,0.002333,0.001838,0.021689,0.013464,0.607019,0.087217,0.069368,0.663653,0.001129,0.216965,3.402930,0.600529,0.380340,0.348914,0.315349,0.313821,0.250958,0.268461,0.192976,0.204397,0.229362,0.204060,0.174521,0.001580,0.002410,0.003939,0.002786,0.002016,0.001604,0.002401,0.001670,0.001552,0.001485,0.001878,0.002222,0.001081,pills_50
0.158003,0.005927,1.824832,0.258312,0.186609,1.766577,0.001866,0.329605,-29.357622,-1.610159,-0.722910,-0.466183,0.152433,-0.081135,-0.208549,0.083863,0.062396,-0.245726,0.173597,0.013380,0.021927,0.002702,0.002833,0.003479,0.003557,0.002805,0.002022,0.002449,0.001801,0.001857,0.002283,0.002377,0.002292,0.001791,0.019156,0.006721,0.626675,0.068364,0.056958,0.459866,0.000712,0.139523,3.200248,0.541641,0.442428,0.338654,0.276445,0.258016,0.265458,0.271351,0.220390,0.215569,0.208618,0.215637,0.191035,0.001862,0.002266,0.002873,0.002621,0.001994,0.001363,0.002313,0.001652,0.001599,0.001923,0.002013,0.001817,0.000898,pills_50
0.145806,0.012772,1.886029,0.271868,0.214137,1.929894,0.001585,0.365442,-26.924119,-1.563989,-1.015601,-0.492939,-0.223989,-0.026020,-0.298464,0.138260,0.055498,-0.195106,0.099856,-0.051888,0.059300,0.004663,0.004065,0.004960,0.004539,0.003463,0.002923,0.002323,0.002526,0.002178,0.003071,0.003437,0.003347,0.002288,0.027355,0.012660,0.535981,0.079048,0.058056,0.498979,0.000583,0.167218,2.876970,0.513093,0.526254,0.401758,0.315370,0.281539,0.245657,0.231559,0.235984,0.229031,0.251751,0.192394,0.196576,0.003709,0.003190,0.003609,0.002849,0.002294,0.002485,0.001553,0.002123,0.001452,0.002186,0.002298,0.002346,0.001370,pills_50
0.151951,0.013260,1.883721,0.274911,0.211063,1.988154,0.001778,0.386104,-26.858024,-1.164340,-0.900183,-0.669058,-0.017054,-0.197309,-0.295603,0.120238,0.017500,-0.092023,0.021924,0.002565,-0.019922,0.004240,0.003728,0.004685,0.003706,0.003506,0.003273,0.003397,0.003206,0.002960,0.003765,0.003595,0.003289,0.002144,0.032894,0.013875,0.550182,0.091391,0.060312,0.578727,0.000669,0.206270,2.919609,0.612151,0.451488,0.454189,0.295626,0.277138,0.288797,0.278571,0.223639,0.253982,0.248787,0.202220,0.185922,0.003101,0.002485,0.003802,0.002417,0.002340,0.002384,0.002704,0.002623,0.002339,0.003076,0.002768,0.002414,0.001309,pills_50
0.156490,0.011876,1.754850,0.277187,0.202093,1.908250,0.001890,0.395079,-27.867448,-1.340977,-0.824419,-0.548512,0.125211,-0.151858,-0.270145,0.120780,0.081824,-0.191544,0.088432,0.001716,-0.030894,0.003206,0.003523,0.005116,0.003862,0.002712,0.002476,0.003010,0.001981,0.001810,0.002512,0.002786,0.002599,0.002183,0.026059,0.015257,0.497218,0.085986,0.064832,0.561845,0.000712,0.201976,3.105423,0.553813,0.396139,0.388121,0.302449,0.324706,0.265614,0.269292,0.230217,0.222682,0.229929,0.216120,0.207716,0.001997,0.002818,0.005619,0.002786,0.001745,0.001905,0.003573,0.001600,0.001402,0.002056,0.001989,0.001828,0.001840,pills_50
0.166040,0.010994,1.826117,0.286196,0.206512,2.093489,0.001825,0.428567,-27.476344,-1.148105,-0.918023,-0.708014,0.037113,-0.165509,-0.310140,0.045610,0.016348,-0.097687,0.061978,-0.040152,-0.070740,0.003095,0.002952,0.003940,0.003722,0.002792,0.002743,0.003088,0.003006,0.003518,0.003497,0.003167,0.003168,0.001918,0.026232,0.012005,0.548089,0.092263,0.061836,0.576727,0.000712,0.212898,3.141059,0.639900,0.394493,0.432975,0.331861,0.309569,0.296079,0.258039,0.229771,0.239194,0.214256,0.212326,0.173048,0.001992,0.001988,0.002918,0.002375,0.001787,0.001476,0.002666,0.002037,0.002269,0.002808,0.002600,0.002175,0.001221,pills_50
0.147893,0.010960,1.678835,0.289094,0.223254,2.035685,0.001599,0.411987,-27.222061,-1.320571,-1.037795,-0.575916,0.001793,-0.032440,-0.206828,-0.012639,0.063359,-0.137972,0.047242,0.007488,-0.033543,0.003695,0.003821,0.005191,0.004049,0.002819,0.002966,0.003473,0.004314,0.002936,0.005051,0.004214,0.003744,0.002448,0.032428,0.010653,0.582904,0.088083,0.056289,0.534741,0.000593,0.198664,3.074763,0.564347,0.593773,0.457050,0.338903,0.272575,0.290835,0.241168,0.252391,0.241697,0.228792,0.218939,0.191208,0.002513,0.003362,0.004450,0.002991,0.001953,0.002169,0.003050,0.004528,0.002139,0.004625,0.003505,0.003261,0.001781,pills_50
