@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {pills_1,pills_10,pills_25,pills_50}

@DATA
0.226105,0.030347,2.478891,0.394827,0.256989,2.683473,0.001189,0.664046,-26.349910,-1.609946,-0.530558,-0.170154,-0.227372,0.008036,-0.246727,0.027160,0.034518,-0.233898,0.144794,-0.092270,-0.021630,0.002190,0.002147,0.002984,0.002923,0.001650,0.001632,0.001525,0.001496,0.001287,0.001367,0.001569,0.001876,0.001252,0.053177,0.036956,0.503572,0.093076,0.051881,0.539757,0.000654,0.228239,2.280175,0.686554,0.355265,0.287270,0.269274,0.231241,0.208336,0.240076,0.214066,0.224662,0.178615,0.174761,0.157365,0.001430,0.001765,0.002946,0.002549,0.000901,0.000866,0.001004,0.001021,0.000729,0.000828,0.001085,0.001208,0.000879,pills_10
0.221021,0.029318,2.398689,0.397353,0.259600,2.664886,0.001229,0.656033,-26.155437,-1.553949,-0.597546,-0.180660,-0.242927,0.076725,-0.201372,0.030051,0.006931,-0.142030,0.138657,-0.145232,-0.006158,0.002181,0.002246,0.002771,0.002670,0.001862,0.001677,0.001568,0.001673,0.001385,0.001546,0.001673,0.001830,0.001221,0.050981,0.033189,0.481504,0.093244,0.046620,0.560696,0.000767,0.232331,2.245924,0.576125,0.397327,0.351046,0.286047,0.253933,0.230702,0.242634,0.220787,0.233035,0.182993,0.177728,0.167924,0.001494,0.001797,0.002459,0.002474,0.001226,0.000993,0.000959,0.001050,0.000888,0.001000,0.001175,0.001105,0.000862,pills_10
0.206459,0.032656,2.372278,0.366731,0.252719,2.497888,0.001232,0.596704,-26.212946,-1.614450,-0.716323,-0.131641,-0.174965,0.063970,-0.264016,0.086219,0.005383,-0.204565,0.131250,-0.068173,-0.028598,0.002612,0.003004,0.004159,0.003529,0.002259,0.002005,0.002261,0.001620,0.001520,0.001923,0.002277,0.002312,0.001763,0.043616,0.042788,0.579232,0.087916,0.054872,0.476889,0.000584,0.217622,2.659436,0.693355,0.511748,0.423133,0.322033,0.295191,0.228214,0.266064,0.225900,0.235867,0.170548,0.173165,0.169700,0.001886,0.002305,0.003010,0.002251,0.001523,0.001145,0.002877,0.001171,0.001039,0.001495,0.001751,0.001871,0.001196,pills_10
0.221752,0.024007,2.389727,0.411862,0.269649,2.762873,0.000937,0.705889,-26.013068,-1.194101,-0.763514,-0.436079,0.138332,-0.225937,-0.040596,-0.077968,0.054170,-0.289449,0.079043,-0.033516,-0.069441,0.002155,0.001875,0.002478,0.002468,0.001731,0.001741,0.001692,0.001462,0.001607,0.002136,0.002435,0.002446,0.001182,0.041869,0.025492,0.459630,0.074173,0.038125,0.478591,0.000475,0.193149,2.002881,0.537454,0.411873,0.300117,0.275355,0.230918,0.225255,0.218077,0.218643,0.209739,0.173181,0.185932,0.138773,0.001473,0.001576,0.002216,0.002100,0.001120,0.001238,0.000949,0.000779,0.000896,0.001443,0.001426,0.001577,0.000738,pills_10
0.214946,0.029817,2.393855,0.371454,0.248483,2.531318,0.001197,0.607627,-26.385672,-1.557472,-0.546776,-0.182055,-0.202145,0.075033,-0.252483,0.026390,0.065986,-0.237040,0.131166,-0.043771,-0.027250,0.002668,0.002923,0.003764,0.002855,0.001746,0.001671,0.001637,0.001460,0.001436,0.001632,0.001924,0.002052,0.001533,0.045274,0.038754,0.521488,0.084066,0.048858,0.488757,0.000524,0.211585,2.444312,0.693632,0.376910,0.339980,0.272551,0.234933,0.246061,0.217164,0.214107,0.209768,0.181709,0.180210,0.156527,0.002181,0.002369,0.003256,0.001800,0.001202,0.001193,0.001202,0.000946,0.001044,0.001243,0.001268,0.001239,0.001000,pills_10
0.213845,0.028536,2.331517,0.393581,0.261299,2.633009,0.001287,0.657858,-26.370785,-1.602543,-0.556497,-0.159768,-0.292757,0.100878,-0.185360,0.049122,-0.024724,-0.120911,0.144951,-0.093883,-0.006291,0.002287,0.002014,0.002960,0.003032,0.002103,0.001996,0.001869,0.001658,0.001376,0.001451,0.001712,0.001794,0.001367,0.049734,0.035382,0.562374,0.093561,0.050792,0.576516,0.000813,0.232825,2.305360,0.768295,0.355574,0.327079,0.293243,0.243230,0.239849,0.250044,0.214694,0.248582,0.190742,0.194013,0.169831,0.001789,0.001312,0.003212,0.003028,0.001405,0.001279,0.001271,0.001003,0.000776,0.000967,0.001247,0.001420,0.001123,pills_10
0.218172,0.028533,2.433939,0.398833,0.268910,2.686757,0.000989,0.665887,-25.789467,-1.561132,-0.605466,-0.241771,-0.167153,0.060321,-0.278312,0.039167,0.026254,-0.212277,0.128066,-0.021340,-0.076248,0.002479,0.002686,0.003016,0.002618,0.001836,0.001742,0.001760,0.001404,0.001431,0.001654,0.001986,0.002551,0.001366,0.039628,0.028997,0.505339,0.071466,0.037410,0.449185,0.000439,0.201659,2.011933,0.635251,0.377379,0.332426,0.254667,0.248857,0.246297,0.220716,0.213962,0.198639,0.163521,0.185051,0.145445,0.001576,0.002186,0.002598,0.002039,0.001067,0.001093,0.001100,0.000694,0.000818,0.001058,0.001255,0.001712,0.000780,pills_10
0.227284,0.029355,2.452758,0.403428,0.263112,2.751367,0.001057,0.685041,-25.784381,-1.408395,-0.692605,-0.311104,-0.031568,-0.031908,-0.161388,-0.026138,0.031487,-0.210050,0.135661,-0.080242,-0.083306,0.002436,0.002136,0.002479,0.002310,0.001813,0.001864,0.001924,0.001658,0.001537,0.001685,0.001970,0.002347,0.001112,0.049038,0.031199,0.412411,0.087096,0.047143,0.505211,0.000551,0.215279,2.061586,0.566455,0.398293,0.379294,0.262935,0.246978,0.234228,0.206716,0.210222,0.226529,0.185510,0.193053,0.153185,0.001693,0.001452,0.001883,0.001758,0.001238,0.001038,0.001427,0.001052,0.000827,0.000968,0.001164,0.001717,0.000623,pills_10
0.216711,0.023119,2.533525,0.395423,0.255359,2.691142,0.001220,0.665950,-26.162942,-1.313572,-0.715797,-0.233352,-0.127405,0.026833,-0.322887,0.093078,0.008549,-0.242475,0.135316,-0.081399,-0.038790,0.002433,0.002536,0.003716,0.002804,0.001673,0.001803,0.001639,0.001596,0.001475,0.001530,0.001892,0.002360,0.001376,0.055296,0.025802,0.543396,0.104001,0.054620,0.587504,0.000736,0.239939,2.104064,0.698674,0.346305,0.289206,0.264364,0.263476,0.249483,0.238805,0.235893,0.213987,0.201296,0.174296,0.159857,0.001830,0.002114,0.003487,0.002177,0.000807,0.000985,0.000932,0.000893,0.000920,0.000893,0.001159,0.001810,0.001065,pills_10
0.226400,0.021217,2.364935,0.386434,0.251003,2.651464,0.001051,0.640560,-26.923956,-1.266404,-0.860378,-0.367460,0.132634,-0.207929,-0.115168,-0.031292,0.025235,-0.245317,0.087290,-0.000875,-0.066220,0.002415,0.002126,0.002767,0.002527,0.001744,0.001787,0.001831,0.001588,0.001663,0.002055,0.002275,0.002531,0.001164,0.044966,0.026674,0.511139,0.088488,0.050147,0.524936,0.000475,0.221533,2.574763,0.600106,0.409936,0.329617,0.271375,0.231448,0.222706,0.200792,0.205978,0.216807,0.182813,0.180397,0.182573,0.001885,0.001608,0.002230,0.001932,0.000863,0.001157,0.001207,0.001141,0.001126,0.001556,0.001335,0.001537,0.000802,pills_10
